verb,skill_level
reduse,4.0
brine,6.0
sizzle,4.0
cube,2.0
sprinkle,2.0
pastuerize,8.0
layer,2.0
grate,2.0
wiske,2.0
quarter,2.0
muddle,2.0
shuck,8.0
wine,2.0
saucer,2.0
blacken,4.0
sausage,2.0
funnel,2.0
puree,4.0
parboil,4.0
dissolve,2.0
wilt,2.0
sautee,4.0
peak,6.0
spiralize,4.0
weave,4.0
wisk,2.0
cutout,2.0
perforate,4.0
refry,4.0
brown,2.0
press,2.0
baste,6.0
recombine,4.0
toughen,2.0
broil,4.0
drizzle,2.0
reroll,4.0
agar,6.0
ricer,4.0
bake,4.0
stirfry,4.0
rince,2.0
hydrate,6.0
overchurn,8.0
claw,4.0
bind,6.0
sweat,4.0
season,2.0
debone,6.0
pack,2.0
shock,4.0
fire,2.0
preppe,2.0
spread,2.0
liquify,4.0
carmalize,4.0
whisk,2.0
rerolle,2.0
skin,4.0
subdivide,6.0
overprocesse,4.0
separate,2.0
13x9,2.0
fine,2.0
brew,2.0
trickle,4.0
upturn,4.0
processor,2.0
prepare,2.0
purée,4.0
liquefy,4.0
overbrowne,2.0
blender,2.0
shell,2.0
dillute,2.0
sauteee,4.0
defat,6.0
shank,2.0
reapply,2.0
singe,2.0
detract,2.0
kneed,4.0
unpeele,2.0
measure,2.0
crystalize,4.0
sear,4.0
precipitate,4.0
curds,2.0
roux,6.0
bone,2.0
scald,4.0
convection,6.0
reconstitute,4.0
char,6.0
sliver,2.0
strain,2.0
decant,4.0
sanitize,4.0
batter,6.0
shred,4.0
drain,2.0
earthenware,2.0
cipolline,4.0
scorch,2.0
cool,4.0
trim,2.0
refresh,4.0
pipe,6.0
tenderize,4.0
score,6.0
refold,6.0
refrigerate,4.0
scrape,2.0
zest,4.0
braze,2.0
pressurize,6.0
panfry,4.0
stockpot,2.0
griddle,4.0
pureé,4.0
marinade,2.0
gnocchi,4.0
blot,2.0
carmelize,2.0
ferment,2.0
masher,2.0
aggregate,4.0
halve,2.0
filter,2.0
saucepan,4.0
circulate,2.0
clog,2.0
horseradish,2.0
scramble,2.0
pit,4.0
prebake,2.0
compress,2.0
marinate,2.0
sift,4.0
mold,4.0
broiler,2.0
cook,2.0
underbake,2.0
grease,2.0
underknead,4.0
simmmer,2.0
steam,4.0
emulsify,6.0
sterlize,6.0
knead,4.0
roast,4.0
slash,2.0
skillet,2.0
garnish,2.0
preheat,4.0
infuse,2.0
crimp,6.0
liquidise,2.0
straighten,2.0
eviscerate,8.0
saute,4.0
curdle,2.0
julienne,6.0
peel,2.0
chinois,8.0
fabricate,6.0
bead,4.0
mash,2.0
blanch,4.0
overknead,4.0
crumble,2.0
clarify,8.0
sterilise,4.0
glaze,4.0
pare,4.0
pour,2.0
boil,2.0
blend,4.0
render,4.0
crêpe,6.0
truss,8.0
thicken,4.0
slice,4.0
rewhip,4.0
saturate,6.0
siphon,8.0
evaporate,2.0
crystallize,6.0
rise,4.0
butterfly,6.0
ramekin,4.0
reduce,4.0
rub,2.0
macerate,4.0
depressurize,6.0
coddle,4.0
flambe,6.0
immerse,4.0
caramelise,2.0
chill,2.0
rehydrate,2.0
9x13,2.0
deglaze,4.0
sautè,4.0
pulverise,2.0
pressure,4.0
dollop,2.0
deepfry,6.0
simmer,2.0
grill,6.0
mince,2.0
microwave,2.0
toss,2.0
core,2.0
sieve,4.0
caramelize,2.0
unmolde,6.0
congeal,4.0
degrease,4.0
brush,2.0
barbeque,2.0
splatter,4.0
steep,2.0
reprocess,2.0
sautée,4.0
defrost,2.0
hull,4.0
devein,6.0
pulverize,4.0
skim,4.0
transfer,2.0
carmelise,2.0
overmix,2.0
whip,4.0
homogenize,6.0
sauté,4.0
froth,2.0
intergrate,4.0
blitz,2.0
shimmer,2.0
poach,6.0
chiffonade,6.0
dry,2.0
dice,2.0
smoke,2.0
fillet,6.0
stew,4.0
unmold,6.0
reboil,2.0
flame,2.0
grind,2.0
scallop,6.0
steamed,2.0
deseed,4.0
skewer,4.0
reseason,2.0
toast,2.0
regrind,8.0
fry,4.0
sterilize,6.0
overcook,4.0
remix,2.0
braise,4.0
overwhip,4.0
temper,8.0
weep,6.0
mix,2.0
escallop,8.0
fricassee,4.0
hash,2.0
leaven,4.0
percolate,2.0
shirr,4.0
meuniere,6.0
brunoise,6.0
soft-boil,6.0
mount,6.0
butcher,6.0
souffle,6.0
pasteurize,8.0
confit,8.0
baveuse,8.0
brunois,6.0
escalope,8.0
quenelle,8.0
rochet,8.0
tourne,8.0
tourner,8.0
